02-14-2022 07:58:21.550,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-14-2022 07:48:44.133,0,RECV,7E006981222247002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203063
02-14-2022 07:48:44.641,1,RECV,7E006981222248002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203161
02-14-2022 07:48:45.146,2,RECV,7E00698122224B00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020325D
02-14-2022 07:48:45.647,3,RECV,7E006981222245002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203362
02-14-2022 07:48:46.151,4,RECV,7E00698122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020345F
02-14-2022 07:48:46.651,5,RECV,7E00698122224700202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020355E
02-14-2022 07:48:47.152,6,RECV,7E00698122224600202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020365E
02-14-2022 07:48:47.652,7,RECV,7E00698122224500202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020375E
02-14-2022 07:48:48.151,8,RECV,7E00698122224500202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020385D
02-14-2022 07:48:48.654,9,RECV,7E00698122224600202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020395B
02-14-2022 07:48:49.153,10,RECV,7E006981222246002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313053
02-14-2022 07:48:49.657,11,RECV,7E006981222246002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313152
02-14-2022 07:48:50.163,12,RECV,7E006981222246002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313251
