02-05-2022 23:29:59.579,-,API,"Router,0013A20041C37EFF,ZIGBEE TH Reg,4061,COM9 - 115200/8/N/1/N,0,46"

02-05-2022 23:09:06.857,0,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:07.356,1,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:07.854,2,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:08.414,3,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:08.909,4,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:09.406,5,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:09.904,6,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:10.419,7,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:10.965,8,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:11.463,9,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:11.963,10,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:12.461,11,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:13.023,12,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:13.522,13,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:14.022,14,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:14.521,15,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:15.022,16,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:15.582,17,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:16.081,18,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:16.583,19,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:17.081,20,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:17.583,21,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:18.080,22,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:18.639,23,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:19.076,24,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:19.635,25,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:20.136,26,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:20.636,27,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:21.135,28,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:21.631,29,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:22.132,30,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:22.634,31,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:23.190,32,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:23.689,33,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:24.186,34,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:24.686,35,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:25.245,36,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:25.754,37,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:26.243,38,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:26.740,39,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:27.301,40,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:27.801,41,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:28.300,42,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:28.798,43,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:29.296,44,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:29.853,45,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:30.353,46,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:30.914,47,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:31.352,48,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:31.853,49,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:32.413,50,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:32.911,51,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:33.410,52,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:33.907,53,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:34.408,54,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:34.968,55,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:35.466,56,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
02-05-2022 23:09:35.965,57,RECV,7E0020900013A20041C5375A000001313233343536373839303132333435363738393008
