02-06-2022 21:10:54.391,-,API,"Router1,0013A20041C37EFF,802.15.4 TH,2003,COM11 - 115200/8/N/1/N,1,46"

02-06-2022 20:52:35.816,0,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:35.878,1,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:36.002,2,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:36.128,3,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:36.189,4,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:36.316,5,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:36.440,6,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:36.564,7,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:36.627,8,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:36.751,9,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:36.874,10,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:36.998,11,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.184,12,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.309,13,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.435,14,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.498,15,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.623,16,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.749,17,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.874,18,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:37.957,19,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.064,20,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.190,21,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.316,22,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.378,23,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.504,24,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.629,25,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.752,26,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.815,27,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:38.939,28,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.065,29,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.190,30,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:39.253,31,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.377,32,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.501,33,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.627,34,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.690,35,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:39.814,36,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:39.940,37,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.065,38,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.127,39,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.251,40,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.376,41,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.501,42,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.564,43,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.688,44,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.812,45,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.936,46,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:40.997,47,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.121,48,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.246,49,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.371,50,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.434,51,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.560,52,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.686,53,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.812,54,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:41.875,55,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.001,56,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.125,57,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.249,58,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.311,59,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.437,60,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.563,61,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.686,62,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.749,63,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.872,64,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:42.997,65,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:43.122,66,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:43.185,67,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:43.308,68,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:43.433,69,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:52:43.558,70,RECV,7E00198100003600313233343536373839306162636465666768696A44
02-06-2022 20:52:43.621,71,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:43.745,72,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:43.871,73,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:43.997,74,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:44.060,75,RECV,7E00198100003900313233343536373839306162636465666768696A41
02-06-2022 20:52:44.184,76,RECV,7E00198100003600313233343536373839306162636465666768696A44
02-06-2022 20:52:44.310,77,RECV,7E00198100003900313233343536373839306162636465666768696A41
02-06-2022 20:52:44.435,78,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:44.499,79,RECV,7E00198100004300313233343536373839306162636465666768696A37
02-06-2022 20:52:44.625,80,RECV,7E00198100004700313233343536373839306162636465666768696A33
02-06-2022 20:52:44.749,81,RECV,7E00198100004B00313233343536373839306162636465666768696A2F
02-06-2022 20:52:44.874,82,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:44.936,83,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:45.062,84,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:52:45.187,85,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:45.312,86,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:52:45.375,87,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:45.503,88,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:45.629,89,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:45.754,90,RECV,7E00198100003900313233343536373839306162636465666768696A41
02-06-2022 20:52:45.940,91,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:46.065,92,RECV,7E00198100003E00313233343536373839306162636465666768696A3C
02-06-2022 20:52:46.190,93,RECV,7E00198100004000313233343536373839306162636465666768696A3A
02-06-2022 20:52:46.252,94,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:46.377,95,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:46.500,96,RECV,7E00198100003A00313233343536373839306162636465666768696A40
02-06-2022 20:52:46.625,97,RECV,7E00198100003A00313233343536373839306162636465666768696A40
02-06-2022 20:52:46.687,98,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:46.813,99,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:46.937,100,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:47.064,101,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:47.128,102,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:47.253,103,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:47.377,104,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:47.501,105,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:47.563,106,RECV,7E00198100003D00313233343536373839306162636465666768696A3D
02-06-2022 20:52:47.687,107,RECV,7E00198100003D00313233343536373839306162636465666768696A3D
02-06-2022 20:52:47.811,108,RECV,7E00198100003E00313233343536373839306162636465666768696A3C
02-06-2022 20:52:47.935,109,RECV,7E00198100003D00313233343536373839306162636465666768696A3D
02-06-2022 20:52:47.998,110,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:48.122,111,RECV,7E00198100003C00313233343536373839306162636465666768696A3E
02-06-2022 20:52:48.248,112,RECV,7E00198100003D00313233343536373839306162636465666768696A3D
02-06-2022 20:52:48.373,113,RECV,7E00198100003D00313233343536373839306162636465666768696A3D
02-06-2022 20:52:48.436,114,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:48.560,115,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:48.685,116,RECV,7E00198100003A00313233343536373839306162636465666768696A40
02-06-2022 20:52:48.812,117,RECV,7E00198100003A00313233343536373839306162636465666768696A40
02-06-2022 20:52:48.874,118,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:48.999,119,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:49.124,120,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:49.249,121,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:49.312,122,RECV,7E00198100003600313233343536373839306162636465666768696A44
02-06-2022 20:52:49.437,123,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:49.561,124,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:49.688,125,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:49.814,126,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:50.001,127,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:50.128,128,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:50.189,129,RECV,7E00198100003B00313233343536373839306162636465666768696A3F
02-06-2022 20:52:50.315,130,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:50.439,131,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:50.565,132,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:50.637,133,RECV,7E00198100003A00313233343536373839306162636465666768696A40
02-06-2022 20:52:50.752,134,RECV,7E00198100003700313233343536373839306162636465666768696A43
02-06-2022 20:52:50.874,135,RECV,7E00198100003800313233343536373839306162636465666768696A42
02-06-2022 20:52:50.999,136,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:51.061,137,RECV,7E00198100003900313233343536373839306162636465666768696A41
02-06-2022 20:52:51.186,138,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:52:51.312,139,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:51.436,140,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:51.499,141,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:51.624,142,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:51.749,143,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:51.874,144,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:51.938,145,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:52.065,146,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:52.188,147,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:52.313,148,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:52.375,149,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:52.499,150,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:52.624,151,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:52.750,152,RECV,7E00198100003400313233343536373839306162636465666768696A46
