02-12-2022 21:54:54.096,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-12-2022 21:45:13.880,0,RECV,7E00238122224F002020202020202020202020202020202020202020202020202020202020301B
02-12-2022 21:45:14.382,1,RECV,7E00238122224F002020202020202020202020202020202020202020202020202020202020311A
02-12-2022 21:45:14.879,2,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203219
02-12-2022 21:45:15.379,3,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203318
02-12-2022 21:45:15.881,4,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203417
02-12-2022 21:45:16.381,5,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203516
02-12-2022 21:45:16.879,6,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203615
02-12-2022 21:45:17.379,7,RECV,7E00238122224E0020202020202020202020202020202020202020202020202020202020203715
02-12-2022 21:45:17.878,8,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203813
02-12-2022 21:45:18.380,9,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020203912
02-12-2022 21:45:18.880,10,RECV,7E00238122224F002020202020202020202020202020202020202020202020202020202031300A
02-12-2022 21:45:19.382,11,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313109
02-12-2022 21:45:19.889,12,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313208
02-12-2022 21:45:20.392,13,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313307
02-12-2022 21:45:20.894,14,RECV,7E00238122224E0020202020202020202020202020202020202020202020202020202020313407
02-12-2022 21:45:21.399,15,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313505
02-12-2022 21:45:21.903,16,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313604
02-12-2022 21:45:22.403,17,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313703
02-12-2022 21:45:22.906,18,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313802
02-12-2022 21:45:23.404,19,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020313901
02-12-2022 21:45:23.907,20,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323009
02-12-2022 21:45:24.413,21,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323108
02-12-2022 21:45:24.850,22,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323207
02-12-2022 21:45:25.354,23,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323306
02-12-2022 21:45:25.869,24,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323405
02-12-2022 21:45:26.356,25,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323504
02-12-2022 21:45:26.860,26,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323603
02-12-2022 21:45:27.362,27,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323702
02-12-2022 21:45:27.869,28,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323801
02-12-2022 21:45:28.370,29,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020323900
02-12-2022 21:45:28.873,30,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020333008
02-12-2022 21:45:29.376,31,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020333107
02-12-2022 21:45:29.876,32,RECV,7E00238122224F0020202020202020202020202020202020202020202020202020202020333206
