02-12-2022 11:00:55.940,-,API,"Coordinator_802,0013A20041C5375A,802.15.4 TH,2003,COM7 - 115200/8/N/1/N,1,46"

02-12-2022 10:52:26.176,0,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020305E
02-12-2022 10:52:26.676,1,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020315D
02-12-2022 10:52:27.174,2,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020325C
02-12-2022 10:52:27.669,3,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020335B
02-12-2022 10:52:28.169,4,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020345A
02-12-2022 10:52:28.669,5,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203559
02-12-2022 10:52:29.168,6,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203658
02-12-2022 10:52:29.670,7,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203757
02-12-2022 10:52:30.169,8,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203856
02-12-2022 10:52:30.665,9,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020203955
02-12-2022 10:52:31.167,10,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031304D
02-12-2022 10:52:31.670,11,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031314C
02-12-2022 10:52:32.173,12,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031324B
02-12-2022 10:52:32.674,13,RECV,7E004B8122220C00202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202031334A
02-12-2022 10:52:33.172,14,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313449
02-12-2022 10:52:33.670,15,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313548
02-12-2022 10:52:34.169,16,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313647
02-12-2022 10:52:34.670,17,RECV,7E004B8122220C002020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020313746
